"","Janus.Tissue.ID","Neutron","Gamma","Total.dose","X..Fractions","Gender","JM.exp.series","DISEASE","Janus.Tissue.ID.1","HTG.Sample.label","Array","Element","let.7b","miR.143","miR.145","miR.16","miR.17","miR.214","miR.23a","miR.24","miR.27a","miR.34a","miR.574.5p","miR.720","miR.1195","miR.466f.3p","miR.467b","miR.503","miR.669i","miR.690","miR.701","miR.703","miR.706","miR.709","miR.712","miR.714","miR.872","miR.881","miR.92a","miR.155","miR.15a","miR.21","miR.19a","miR.20a","GUSB","GAPDH","miR.699","miR.685","miR.923","miR.1826","miR.1308","Quality","ElementCol","ElementRow","dose_rate","age","first_irrad"
"47","B1554","","G",545.7,1,"F",3,"FALSE","B 1554","1-B1554","72612B","A1",438,85,109,133,136,103,93,NA,113,85,22777,1005,1144,648,260,NA,77,721,NA,NA,269,9169,1015,5388,132,120,1297,NA,82,NA,NA,91,NA,129,248,1230,27093,23788,28318,"G","1","A",27.285,863,117
"48","B1554","","G",545.7,1,"F",3,"FALSE","B 1554","1-B1554","72612A","A1",656,NA,86,76,266,248,76,NA,NA,NA,21150,1076,1718,1110,108,NA,NA,878,NA,NA,137,8694,899,7345,98,NA,1195,NA,NA,NA,NA,NA,102,151,264,985,24148,20562,24539,"G","1","A",27.285,863,117
"49","B16","N","",18.84,1,"M",3,"FALSE"," B 16","11-B16","102011","C2",4496,2987,2228,2409,1190,467,1550,2707,1045,NA,23555,24467,15781,700,NA,NA,210,24033,NA,NA,1992,24779,21698,22372,NA,NA,1575,NA,464,128,76,NA,147,189,5289,9369,23343,27750,26826,"N","2","C",1.884,361,103
"50","B16","N","",18.84,1,"M",3,"FALSE"," B 16","","4022012","C2",12315,9645,6364,8525,2171,2428,4887,8699,3634,299,27256,26889,20641,3909,154,194,798,26750,1792,NA,9610,25975,28374,28263,239,NA,5324,164,1756,1215,376,122,371,796,14494,21976,24169,22279,25762,"N","2","C",1.884,361,103
"51","B1604","N","",18.84,1,"M",3,"FALSE"," B 1604","51-B1604","102011","C7",351,NA,NA,NA,NA,82,NA,3469,NA,NA,1143,7323,233,246,NA,NA,NA,60,NA,NA,NA,303,65,444,NA,NA,208,NA,NA,NA,NA,NA,92,100,NA,NA,36785,1793,994,"N","7","C",0.942,810,109
"52","B1604","N","",18.84,1,"M",3,"FALSE"," B 1604","","4022012","C7",1126,NA,NA,NA,NA,484,NA,11353,NA,NA,730,5668,663,1694,NA,NA,NA,105,NA,NA,NA,450,136,1892,199,NA,810,130,NA,NA,NA,NA,107,316,223,NA,30303,1682,591,"N","7","C",0.942,810,109
"53","B1625","N","",37,1,"M",3,"FALSE"," B 1625","33-B1625","102011","A5",87,NA,NA,NA,NA,150,NA,2895,NA,NA,1214,4666,194,162,NA,NA,NA,182,NA,NA,NA,422,140,587,NA,NA,144,NA,NA,NA,NA,NA,68,NA,58,120,31004,8320,1317,"N","5","A",1.884,730,115
"54","B1625","N","",37,1,"M",3,"FALSE"," B 1625","","4022012","A5",1240,NA,NA,NA,NA,671,205,8766,77,NA,2502,11919,662,1294,89,NA,NA,291,NA,NA,NA,1102,427,2677,124,NA,699,110,NA,NA,NA,NA,95,289,150,272,35435,24204,3040,"N","5","A",1.884,730,115
"55","B1644","control","control",0,0,"F",3,"FALSE"," B 1644","2-B1644","100711","B1",1421,NA,NA,NA,303,254,106,7526,103,NA,19836,20162,478,810,NA,NA,57,192,NA,NA,127,1850,365,1738,NA,NA,749,69,NA,NA,136,NA,125,486,135,480,27790,7794,5235,"control","1","B",0,739,115
"56","B1644","control","control",0,0,"F",3,"FALSE","B 1644","2-B1644","72612B","B1",275,NA,NA,NA,131,NA,NA,NA,NA,NA,13372,1263,928,704,76,NA,NA,230,NA,NA,NA,1348,348,3055,285,NA,1270,NA,NA,NA,NA,NA,NA,NA,194,380,27475,10129,4613,"control","1","B",0,739,115
